arm,design,n_main,n_cut_lead,n_cut_tail,cuttable,internal_run,cav_before,cav_after,env_before,env_after,rg_before,rg_after,app_before,app_after,verdict_before,verdict_after
arm2noanch_s3002,d074,167,0,12,0,13,0.0,0.0,0.0,0.0,17.0,16.2,11,11,F1 no cavity,F1 no cavity
arm2noanch_s3002,d075,169,21,3,0,20,0.0,0.0,0.0,0.0,19.5,14.9,12,12,F1 no cavity,F1 no cavity
arm4rep_s3004,d000,194,0,0,0,16,0.0,0.0,0.0,0.0,18.2,18.2,27,27,F1 no cavity,F1 no cavity
arm4rep_s3004,d001,107,6,0,0,7,0.0,0.0,0.0,0.0,13.7,13.3,1,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d002,187,8,0,0,18,0.0,0.0,0.0,0.0,17.8,17.6,11,11,F1 no cavity,F1 no cavity
arm4rep_s3004,d003,199,16,0,0,22,0.0,0.0,0.0,0.0,19.6,17.8,17,16,F1 no cavity,F1 no cavity
arm4rep_s3004,d036,184,2,7,0,19,0.0,0.0,0.0,0.0,18.2,17.9,29,29,F1 no cavity,F1 no cavity
arm4rep_s3004,d037,157,0,0,0,4,0.0,0.0,0.0,0.0,15.1,15.1,1,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d038,164,0,0,0,5,0.0,0.0,0.0,0.0,15.8,15.8,4,4,F1 no cavity,F1 no cavity
arm4rep_s3004,d039,181,0,1,0,19,0.0,0.0,0.0,0.0,17.2,17.2,9,9,F1 no cavity,F1 no cavity
arm4rep_s3004,d028,155,0,0,1,3,116.6,116.6,1243.6,1243.6,15.7,15.7,1,1,PASS,PASS
arm4rep_s3004,d029,178,0,1,1,3,0.0,0.0,0.0,0.0,15.1,15.1,11,11,F1 no cavity,F1 no cavity
arm4rep_s3004,d030,180,0,2,0,9,0.0,0.0,0.0,0.0,15.5,15.3,17,17,F1 no cavity,F1 no cavity
arm4rep_s3004,d031,206,1,3,0,18,0.0,0.0,0.0,0.0,19.3,19.1,31,31,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d088,145,8,4,1,3,0.0,0.0,0.0,0.0,14.5,13.5,10,2,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d089,189,49,2,1,2,0.0,0.0,0.0,0.0,24.6,14.0,15,3,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d090,208,44,0,0,17,66.5,32.4,1257.9,1142.2,22.4,18.1,10,3,F4 appendage,F2 envelope
arm3b3rasa_s3003,d091,217,46,14,1,2,0.0,0.0,0.0,0.0,24.0,14.4,13,5,F1 no cavity,F1 no cavity
arm4rep_s3004,d056,164,1,0,0,20,0.0,0.0,0.0,0.0,17.3,17.3,15,15,F1 no cavity,F1 no cavity
arm4rep_s3004,d057,181,0,0,0,11,0.0,0.0,0.0,0.0,16.5,16.5,1,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d058,168,3,0,0,5,72.8,99.4,1331.0,1331.1,16.9,16.5,3,1,PASS,PASS
arm4rep_s3004,d059,179,0,0,0,4,66.7,66.7,1305.0,1305.0,15.8,15.8,7,7,F4 appendage,F4 appendage
arm3b3rasa_s3003,d112,232,53,3,1,2,0.0,0.0,0.0,0.0,26.5,14.7,19,3,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d113,210,46,18,1,2,0.0,0.0,0.0,0.0,24.7,14.2,17,4,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d114,210,65,0,1,2,0.0,0.0,0.0,0.0,24.4,14.2,11,1,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d115,201,41,0,1,1,0.0,0.0,0.0,0.0,23.0,14.1,28,5,F1 no cavity,F1 no cavity
arm4rep_s3004,d008,172,0,2,1,3,0.0,0.0,0.0,0.0,15.4,15.2,1,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d009,119,3,14,0,9,0.0,0.0,0.0,0.0,18.3,13.4,15,4,F1 no cavity,F1 no cavity
arm4rep_s3004,d010,178,1,0,0,5,0.0,0.0,0.0,0.0,16.2,16.2,10,10,F1 no cavity,F1 no cavity
arm4rep_s3004,d011,170,1,1,0,4,0.0,55.1,0.0,790.6,17.0,16.9,5,5,F1 no cavity,F2 envelope
arm4rep_s3004,d040,165,0,0,0,19,0.0,0.0,0.0,0.0,17.1,17.1,9,9,F1 no cavity,F1 no cavity
arm4rep_s3004,d041,169,3,0,0,4,0.0,0.0,0.0,0.0,16.5,16.1,2,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d042,184,9,0,0,18,0.0,0.0,0.0,0.0,18.2,17.7,27,27,F1 no cavity,F1 no cavity
arm4rep_s3004,d043,173,0,0,0,14,0.0,0.0,0.0,0.0,18.2,18.2,5,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d056,170,17,3,0,20,0.0,0.0,0.0,0.0,18.6,16.0,17,17,F1 no cavity,F1 no cavity
arm2noanch_s3002,d057,114,11,11,0,13,0.0,0.0,0.0,0.0,18.1,14.2,13,3,F1 no cavity,F1 no cavity
arm2noanch_s3002,d058,170,11,0,0,24,0.0,0.0,0.0,0.0,18.6,17.1,12,7,F1 no cavity,F1 no cavity
arm2noanch_s3002,d059,160,22,0,0,10,36.9,63.7,809.4,809.4,20.3,14.9,21,1,F2 envelope,F2 envelope
arm4rep_s3004,d108,188,15,0,0,19,0.0,0.0,0.0,0.0,18.2,17.3,30,30,F1 no cavity,F1 no cavity
arm4rep_s3004,d109,116,18,23,0,4,0.0,0.0,0.0,0.0,20.0,12.1,6,3,F1 no cavity,F1 no cavity
arm4rep_s3004,d110,137,15,6,1,3,0.0,0.0,0.0,0.0,17.2,13.6,7,2,F1 no cavity,F1 no cavity
arm4rep_s3004,d111,187,1,0,0,16,0.0,0.0,0.0,0.0,17.0,16.9,10,10,F1 no cavity,F1 no cavity
arm4rep_s3004,d068,200,16,1,0,18,0.0,0.0,0.0,0.0,19.0,17.3,30,30,F1 no cavity,F1 no cavity
arm4rep_s3004,d069,173,0,0,1,3,0.0,0.0,0.0,0.0,15.1,15.1,2,2,F1 no cavity,F1 no cavity
arm4rep_s3004,d070,127,18,4,0,4,0.0,0.0,0.0,0.0,15.0,13.1,6,6,F1 no cavity,F1 no cavity
arm4rep_s3004,d071,169,0,0,0,12,107.6,107.6,1258.0,1258.0,15.7,15.7,1,1,PASS,PASS
arm3b3rasa_s3003,d032,203,56,0,0,5,0.0,0.0,0.0,0.0,20.8,14.2,21,7,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d033,230,50,18,0,5,0.0,0.0,0.0,0.0,25.4,14.3,11,3,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d034,202,43,21,1,1,67.4,94.8,1252.2,1252.2,27.6,14.1,17,1,F4 appendage,PASS
arm3b3rasa_s3003,d035,212,11,18,0,49,142.1,142.1,1208.5,1208.5,24.2,24.4,18,12,F4 appendage,F4 appendage
arm4rep_s3004,d044,179,0,11,0,7,0.0,0.0,0.0,0.0,16.9,16.2,7,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d045,106,4,0,1,3,0.0,0.0,0.0,0.0,13.2,12.9,0,0,F1 no cavity,F1 no cavity
arm4rep_s3004,d046,189,1,0,0,16,0.0,0.0,0.0,0.0,18.4,18.4,7,7,F1 no cavity,F1 no cavity
arm4rep_s3004,d047,185,7,0,0,21,0.0,0.0,0.0,0.0,18.4,18.3,29,29,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d072,212,64,1,1,3,138.5,103.9,1032.1,1032.1,27.6,15.6,11,1,F2 envelope,F2 envelope
arm3b3rasa_s3003,d073,206,46,22,1,3,0.0,0.0,0.0,0.0,25.2,14.4,13,6,F1 no cavity,F1 no cavity
