name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"10-Undecenoic acid",0,13,184.3,8.99,0.207,0.854,0.504,ROD
"17-Hydroxyprogesterone",0,24,330.5,11.58,0.199,0.955,0.524,ROD
"2-Amino-5(Methylthio)-1,3,4-Thiadiazole",0,8,147.2,6.29,0.187,0.813,0.544,ROD
"2-Aminoethanethiol",0,4,77.2,3.21,0.180,0.860,0.555,ROD
"2-Aminoethyl Diphenylborinate (2-APB)",0,17,225.1,7.80,0.512,0.575,0.194,DISC
"2-Aminoheptane",0,8,115.2,5.96,0.213,0.930,0.496,ROD
"2-Aminonicotinic Acid",0,10,138.1,5.01,0.334,0.685,0.327,DISC
"2-Chloroadenosine",0,20,301.7,8.93,0.361,0.724,0.284,DISC
"2-Deoxy-D-glucose",0,11,164.2,5.62,0.485,0.642,0.184,DISC
"2-Deoxy-D-Glucose",0,11,164.2,5.62,0.485,0.642,0.184,DISC
"2-Deoxy-D-ribose",0,9,134.1,4.73,0.502,0.736,0.148,DISC
"2-Ethoxybenzamide",0,12,165.2,6.45,0.425,0.575,0.267,DISC
"2-Ethyl-3-hydroxy-4H-pyran-4-one",0,10,140.1,5.73,0.374,0.671,0.282,DISC
"2-Hydroxybenzyl alcohol",0,9,124.1,5.02,0.316,0.705,0.346,ROD
"2-Methoxyestradiol (2-MeOE2)",0,22,302.4,10.97,0.168,0.863,0.579,ROD
"2-Methylhexanoic acid",0,9,130.2,6.42,0.213,0.976,0.502,ROD
"2-Methylpentanoic acid",0,8,116.2,5.79,0.238,0.940,0.454,ROD
"2-Phenylacetamide",0,10,135.2,6.15,0.201,0.938,0.517,ROD
"2-Quinolinecarboxaldehyde",0,12,157.2,7.32,0.157,0.843,0.602,ROD
"2-Thiobarbituric Acid",0,9,144.2,4.88,0.395,0.605,0.283,DISC
"2-Thiouracil",0,8,128.2,4.93,0.251,0.749,0.436,ROD
"2-Thiouracil",0,8,128.2,4.93,0.251,0.749,0.436,ROD
"2,2'-Dipyridyl",0,12,156.2,7.04,0.150,0.850,0.617,ROD
"2,3-Butanedione Monoxime",0,7,101.1,4.57,0.272,0.760,0.400,ROD
"2,3-Dihydroxybenzoic Acid",0,11,154.1,6.04,0.313,0.687,0.355,DISC
"2,3-Dimethoxy-1,4-Naphthoquinone",0,16,218.2,7.60,0.344,0.671,0.318,DISC
"2,3,4-Trihydroxybenzoic Acid",0,12,170.1,6.37,0.278,0.757,0.391,ROD
"2,3,5-Triiodobenzoic Acid",0,12,499.8,7.02,0.311,0.705,0.354,ROD
"2,4-dichlorobenzyl alcohol",0,10,177.0,6.69,0.290,0.717,0.381,ROD
"2,4-Dichlorophenoxyacetic Acid",0,13,221.0,8.27,0.287,0.767,0.376,ROD
"2,4-Dichlorophenoxyacetic Acid, Isooctyl Ester",0,21,333.3,14.55,0.136,0.931,0.647,ROD
"2,4-Dichlorophenoxyacetic Acid, Methyl Ester",0,14,235.1,7.92,0.322,0.802,0.324,ROD
"2,4-Dichlorophenoxybutyric Acid",0,15,249.1,7.90,0.313,0.895,0.337,ROD
"2,4-Dichlorophenoxybutyric Acid, Methyl Ester",0,16,263.1,11.50,0.172,0.868,0.571,ROD
"2,4-Dihydroxybenzoic Acid",0,11,154.1,6.39,0.242,0.758,0.449,ROD
"2,4-Dinitro-Phenylhydrazine",0,14,198.1,7.32,0.261,0.802,0.412,ROD
"2,4,5-Trichlorophenoxyacetic Acid",0,14,255.5,8.24,0.380,0.680,0.272,DISC
"2,4,5-Trichlorophenoxyacetic acid",0,14,255.5,8.24,0.380,0.680,0.272,DISC
"2,4,5-Trichlorophenoxyacetic Acid, Isooctyl Ester",0,22,367.7,10.04,0.540,0.871,0.116,DISC
"2,4,5-Trichlorophenoxyacetic Acid, Methyl Ester",0,15,269.5,7.91,0.394,0.720,0.247,DISC
"2,5-Dihydroxybenzoic Acid",0,11,154.1,6.01,0.324,0.676,0.343,DISC
"2,6-Diaminopurine Sulfate",0,11,150.1,5.68,0.368,0.632,0.302,DISC
"2,6-Dichloroindophenol Sodium Salt Hydrate",0,17,268.1,9.77,0.244,0.862,0.439,ROD
"2,6-Dihydroxypurine",0,11,152.1,5.66,0.364,0.636,0.305,DISC
"2,7-Dichlorofluorescein",0,27,401.2,10.37,0.390,0.785,0.243,DISC
"2,7-Naphthalenediol",0,12,160.2,7.16,0.189,0.811,0.539,ROD
"2'-Deoxyadenosine monohydrate",0,18,251.2,9.49,0.171,0.935,0.574,ROD
"2'-Deoxyguanosine monohydrate",0,19,267.2,8.81,0.229,0.857,0.464,ROD
"2',3',4'-Trihydroxyacetophenone",0,12,168.1,6.55,0.274,0.726,0.403,ROD
"2',4'-Dihydroxyacetophenone",0,11,152.1,6.55,0.244,0.756,0.446,ROD
"2',4',6'-Trihydroxyacetophenone Monohydrate",0,12,168.1,6.47,0.345,0.725,0.303,ROD
"2���-deoxyuridine",0,16,228.2,8.36,0.263,0.783,0.412,ROD
"3-Amino-1,2,4-Triazole",0,6,84.1,3.37,0.314,0.686,0.354,DISC
"3-Bromo-7-Nitroindazole",0,13,242.0,7.63,0.151,0.849,0.615,ROD
"3-Deoxo-3Beta-Acetoxydeoxydihydrogedunin",0,37,512.6,12.71,0.324,0.854,0.320,ROD
"3-Hydroxybenzoic acid",0,10,138.1,6.03,0.246,0.754,0.444,ROD
"3-Hydroxybenzoic Acid",0,10,138.1,6.03,0.246,0.754,0.444,ROD
"3-Phenoxybenzoic acid",0,16,214.2,8.14,0.265,0.836,0.404,ROD
"3,4-Diaminopyridine",0,8,109.1,4.22,0.391,0.609,0.285,DISC
"3,4-Dihydroxybenzoic Acid",0,11,154.1,6.39,0.211,0.789,0.500,ROD
"3,5-Dihydroxybenzoic Acid",0,11,154.1,6.03,0.341,0.659,0.326,DISC
"3,7-Dimethoxyflavone",0,21,282.3,9.59,0.284,0.751,0.383,ROD
"3'-Fluoro-3'-deoxythymidine (Alovudine)",0,17,244.2,8.25,0.246,0.864,0.435,ROD
"3'-Hydroxyacetophenone",0,10,136.1,6.19,0.258,0.742,0.425,ROD
"3Alpha-Acetoxydihydrodeoxygedunin",0,37,512.6,13.88,0.276,0.797,0.389,ROD
"3Beta-Hydroxydeoxodihydrodeoxygedunin",0,36,502.6,12.47,0.306,0.934,0.351,ROD
"3Beta-Hydroxydeoxodihydrogedunin",0,28,380.4,11.15,0.398,0.660,0.259,DISC
"4-(Aminomethyl)Benzoic Acid",0,11,151.2,7.20,0.138,0.899,0.642,ROD
"4-Acetoxyphenol",0,11,152.1,7.74,0.142,0.925,0.634,ROD
"4-Allylanisole",0,11,148.2,8.01,0.130,0.915,0.660,ROD
"4-Aminoantipyrine",0,15,203.2,7.61,0.256,0.794,0.421,ROD
"4-Aminobenzoic acid",0,10,137.1,6.46,0.158,0.843,0.602,ROD
"4-Aminobutyric acid",0,7,103.1,5.28,0.147,0.895,0.623,ROD
"4-Aminohippuric Acid",0,14,194.2,9.96,0.128,0.883,0.665,ROD
"4-Aminosalicylic acid",0,11,153.1,6.44,0.253,0.788,0.427,ROD
"4-Biphenylacetic acid",0,16,212.2,9.80,0.103,0.966,0.726,ROD
"4-Chloromercuribenzoic Acid",0,11,357.2,9.51,0.044,0.959,0.873,ROD
"4-Hydroxybenzoic acid",0,10,138.1,6.41,0.155,0.845,0.608,ROD
"4-Hydroxybenzoic Acid",0,10,138.1,6.41,0.155,0.845,0.608,ROD
"4-Methylbenzylidene camphor",0,19,254.4,10.24,0.212,0.945,0.499,ROD
"4-Methylesculetin",0,14,192.2,7.61,0.253,0.747,0.434,ROD
"4-Methylumbelliferone (4-MU)",0,13,176.2,7.07,0.277,0.723,0.400,ROD
