name,hit,heavy_atoms,mw,length_A
"Aceclidine HCl",0,12,169.2,6.501712777676911
"Aceclofenac",0,23,354.2,8.395857936931675
"Aceglutamide",0,13,188.2,6.785298755303015
"Acemetacin",0,29,415.8,13.932632297047853
"Acesulfame Potassium",0,10,163.2,4.877122552548187
"Acetamide",0,4,59.1,2.4233764584068562
"Acetazolamide",0,13,222.3,8.555296286415967
"Acetohexamide",0,22,324.4,10.733503987868838
"Acetohydroxamic acid",0,5,75.1,3.7070687259597146
"Acetophenone",0,9,120.2,5.2192512246938545
"Acetylcholine Chloride",0,10,146.2,6.607046457784462
"Acetylcholine iodide",0,10,146.2,6.607046457784462
"Acetylcysteine",0,10,163.2,6.4965528388800315
"Acetylleucine",0,12,173.2,6.5013142681171345
"Aciclovir",0,16,225.2,8.74216860856536
"Acid Red 27",0,35,538.5,14.098848838583207
"Acipimox",0,11,154.1,6.496945336207814
"Acitretin",0,24,326.4,15.969974917121885
"Acivicin",0,11,178.6,6.711842367308389
"Aclidinium Bromide",0,33,484.7,13.993915120812373
"Acotiamide",0,31,450.6,15.540835765908076
"Acotiamide hydrochloride",0,31,450.6,15.540835765908076
"Acriflavinium Hydrochloride",0,17,224.3,9.727498930765954
"Acrivastine",0,26,348.4,11.414130462159749
"Actarit",0,14,193.2,10.12198524164281
"Adapalene",0,31,412.5,15.063599092118869
"Adefovir Dipivoxil",0,34,501.5,11.843692157393754
"Ademetionine",0,27,398.4,13.42838163048969
"Ademetionine disulfate tosylate",0,27,398.4,13.42838163048969
"Adenine",0,10,135.1,4.639951870443543
"Adenine",0,10,135.1,4.639951870443543
"Adenine HCl",0,10,135.1,4.639951870443543
"Adenine sulfate",0,10,135.1,4.639951870443543
"Adenosine",0,19,267.2,8.814428893623004
"Adenosine 5'-monophosphate monohydrate",0,23,347.2,12.106829623548775
"Adenosine disodium triphosphate",0,23,347.2,12.106829623548775
"Adiphenine HCl",0,23,311.4,10.758237379406516
"Adipic acid",0,10,146.1,7.018189560260628
"ADP",0,27,427.2,9.767782458474858
"Adrafinil",0,20,289.4,8.662831291719955
"Adrenalone HCl",0,13,181.2,8.516809586415036
"Afatinib (BIBW2992)",0,34,485.9,14.700356840244785
"Afatinib (BIBW2992) Dimaleate",0,34,485.9,14.700356840244785
"Afloqualone",0,21,283.3,9.884259850599518
"Agomelatine",0,18,243.3,7.644395154113945
"Ajmaline",0,24,326.4,9.939544272411256
"AKBA",0,37,512.7,15.229329641239922
"Aklavine Hydrochloride",0,41,569.6,13.518937529072945
"Ala-Gln",0,15,217.2,7.084220657564271
"Albendazole",0,18,265.3,11.749991507500066
"Albendazole Oxide",0,19,281.3,11.64098051691971
"Alcaftadine",0,23,307.4,10.37213132553122
"Alectinib (CH5424802)",0,36,482.6,20.235812791314363
"Alectinib hydrochloride",0,36,482.6,20.235812791314363
"Alendronate sodium trihydrate",0,14,249.1,5.9810262578370805
"Aleuritic Acid",0,21,304.4,11.824989341048507
"Alfacalcidol",0,29,400.6,14.906178822798072
"Alfuzosin",0,28,389.5,11.462913927318661
"Alfuzosin HCl",0,28,389.5,11.462913927318661
"Alibendol",0,18,251.3,8.799759049112742
"Alimemazine Tartrate",0,21,298.5,7.704693081371473
"Aliskiren",0,39,551.8,14.961035840321435
"Aliskiren Hemifumarate",0,39,551.8,14.961035840321435
"Alizapride HCl",0,23,315.4,11.752187409515635
"Allantoin",0,11,158.1,6.722843912224465
"Allopurinol",0,10,136.1,4.666220151856642
"Allopurinol Sodium",0,10,136.1,4.666220151856642
"Allylestrenol",0,22,300.5,9.449959678611402
"Allylthiourea",0,7,116.2,5.648281736076829
"Almitrine mesylate",0,35,477.6,15.464883387241576
"Almotriptan Malate",0,23,335.5,10.27305867079714
"Alogliptin",0,25,339.4,9.158645501663411
"Alogliptin���SYK-322���benzoate",0,25,339.4,9.158645501663411
"Aloin",0,30,418.4,9.453744951431919
"Alosetron Hydrochloride",0,22,294.4,9.731996954851759
"Alpelisib (BYL719)",0,30,441.5,14.601763070459056
