#Frame            sb1          sb2
     644       3.9175       2.6921
     645       3.8369       2.6859
     646       4.0705       2.8590
     647       4.0123       2.8102
     648       4.1734       2.7656
     649       4.1444       2.7250
     650       4.1787       2.6997
     651       3.8381       2.8016
     652       4.2838       2.8358
     653       4.2622       2.7877
     654       3.8121       2.8427
     655       4.4077       2.7976
     656       4.5397       2.9032
     657       4.2248       2.7932
     658       4.3236       2.7516
     659       4.2972       2.9717
     660       4.0211       2.8170
     661       3.8095       2.7651
     662       4.1077       3.0377
     663       3.8041       2.7277
     664       4.4167       3.0270
     665       4.6385       2.8593
     666       4.2429       2.7035
     667       4.4931       2.8980
     668       4.3472       2.8579
     669       4.2015       2.5996
     670       4.3955       2.7499
     671       4.1916       2.6472
     672       4.5696       2.8509
     673       4.0314       2.6456
     674       4.2109       2.6776
     675       4.1754       2.7906
     676       4.4012       2.8795
     677       4.2732       2.6580
     678       3.7277       2.7315
     679       3.9911       2.6613
     680       3.6421       2.8656
     681       3.9008       2.7876
     682       3.8525       2.7130
     683       4.0008       2.6062
     684       4.3755       2.6366
     685       3.7830       2.7542
     686       3.5886       2.8020
     687       4.2250       2.6822
     688       4.4467       2.9192
     689       4.4036       2.6370
     690       3.7473       2.6238
     691       4.1768       2.7562
     692       4.1688       2.7428
     693       4.6776       2.9285
     694       3.9138       2.6978
     695       4.0869       2.7592
     696       3.9162       2.9763
     697       4.1701       2.7860
     698       4.0647       2.7793
     699       3.6372       2.7181
     700       4.0293       2.7708
     701       4.0681       2.7355
     702       3.8636       2.8146
     703       3.7268       2.8853
     704       3.9014       2.8460
     705       4.2076       2.8820
     706       3.8517       2.7214
     707       4.4044       2.8798
     708       4.2949       2.7339
     709       4.1549       2.7865
     710       4.2187       2.7433
     711       4.6954       3.1186
     712       3.8441       2.6929
     713       4.1733       2.8890
     714       4.4207       2.6290
     715       4.4682       2.8277
     716       4.0951       2.8277
     717       3.7059       2.6991
     718       4.2911       2.7284
     719       3.9594       2.7109
     720       4.1629       2.8497
     721       4.0395       2.7991
     722       3.9321       2.7629
     723       3.3729       2.7816
     724       3.7689       2.7450
     725       3.9997       2.7398
     726       4.1202       2.8687
     727       3.6221       2.7873
     728       4.0586       2.8097
     729       3.8439       2.6282
     730       3.7992       2.5337
     731       3.8431       2.7334
     732       3.9966       2.8663
     733       3.7990       2.6171
     734       4.0112       2.7604
     735       3.9447       2.9004
     736       4.6180       2.9269
     737       4.2126       2.9037
     738       4.3370       2.6092
     739       4.2346       2.7212
     740       3.9971       2.8008
     741       3.6129       2.6831
     742       4.0939       2.6788
     743       3.7346       2.7185
     744       4.2074       2.7433
     745       4.0737       2.8801
     746       4.2675       2.8698
     747       3.9977       2.8709
     748       4.1240       2.7188
     749       4.1902       2.7339
     750       3.9226       2.7658
     751       4.1037       2.6196
     752       3.9872       2.9969
     753       3.7150       2.5993
     754       3.9783       2.8400
     755       4.1403       2.8189
     756       4.0537       2.7828
     757       3.8392       2.8861
     758       4.1335       2.7135
     759       3.9856       2.6401
     760       4.3070       2.7959
     761       3.9409       2.7436
     762       3.7847       2.8182
     763       3.9662       2.7818
     764       3.7260       2.6920
     765       3.5969       2.7636
     766       3.8987       2.7995
     767       4.0925       2.7864
     768       3.5245       2.8165
     769       4.1905       2.7256
     770       3.9689       2.8343
     771       3.8557       2.8551
     772       3.6695       2.8106
     773       3.8935       2.8725
     774       3.5298       2.7358
     775       4.2381       2.7723
     776       4.1349       2.6437
     777       3.9403       2.7943
     778       4.2727       2.6890
     779       4.2468       2.8883
     780       4.0004       2.6287
     781       4.0213       2.8181
     782       3.9865       2.7643
     783       4.1297       2.6624
     784       3.8023       2.6329
     785       4.0253       2.7520
     786       4.1089       2.6861
     787       4.0937       2.7720
     788       3.9223       2.7216
     789       3.9928       2.8011
     790       4.2704       2.7166
     791       4.0100       2.8554
     792       3.8864       2.7830
     793       4.4707       2.9040
     794       4.0863       2.7062
     795       4.1730       2.9193
     796       3.5119       2.6645
     797       3.7912       2.7943
     798       3.8041       2.8503
     799       4.0753       2.6660
     800       4.3740       2.6285
     801       3.9862       2.7203
     802       3.9228       2.7381
     803       4.1748       2.6719
     804       3.8961       2.7411
     805       3.6885       2.7028
     806       3.8438       2.7487
     807       4.2452       2.7293
     808       3.9174       2.7853
     809       4.0735       2.8550
     810       3.8936       2.6562
     811       4.1212       2.5612
     812       3.9675       2.8670
     813       3.9041       2.6982
     814       4.2740       2.7156
     815       4.3219       2.7863
     816       4.2370       3.3432
     817       4.0280       2.8183
     818       3.8171       2.9267
     819       4.2076       2.9293
     820       4.4772       2.6799
     821       4.0829       2.8080
     822       3.8410       2.7617
     823       3.9343       2.7621
     824       4.0166       2.7109
     825       3.9475       2.7768
     826       3.7947       2.8097
     827       3.7676       2.6228
     828       3.9847       2.8748
     829       4.1935       2.8096
     830       4.0092       2.9036
     831       3.8164       2.7291
     832       4.5536       2.9305
     833       4.1265       2.8425
     834       4.5372       3.0063
     835       3.7620       2.7245
     836       4.6153       3.0715
     837       4.0832       2.6524
     838       4.2465       2.6225
     839       4.1514       2.6119
     840       4.5920       2.8851
     841       4.5689       2.9000
     842       4.2842       2.7490
     843       4.7487       2.7500
     844       4.6884       2.6949
     845       4.9088       3.0155
     846       4.6872       2.6764
     847       4.5007       2.6816
     848       4.8058       2.6662
     849       5.0094       2.9528
     850       4.6954       2.7174
     851       4.8807       2.7643
     852       4.9547       3.0142
     853       4.6072       2.8401
     854       4.9545       3.0605
